comment,sentiment
به زعم آنچه در تاریخ شفاهی بندرانزلی  که به قلم مرحوم عزیز طویلی نگاشته شده، ساختمان میرزا عبدالوهاب یا معتمدی یکی از قدیمی­‌ترین و شاید بعد از مناره، تنها ساختمان تاریخی انزلی است که قدمت بالایی دارد. از ساختمان معتمدی در سفرنامه­‌های بسیاری یاد شده است. در این بین «رابینو» در سفرنامه خود، درباره انزلی در سال ۱۹۱۱ میلادی (۱۲۹۰ شمسی) تحقیقات بسیار دقیقی داشته است.بر اساس گزارش او، ساختمان  به واسطه میرزا عبدالوهاب معتمدالدوله در سال ۱۸۱۹ میلادی ساخته شده است. این بنا در وسط یک باغ بنا شده بود. البته تردیدهایی در خصوص سازنده آن نیز وجود دارد. مثلا بعضی‌ها معتقدند، سازنده اولیه این ساختمان «هدایت الله خان» حاکم آن زمان گیلان بوده است.اما یک نکته بسیار جالب و جذاب در خصوص ساختمان معتمدی وجود دارد. این موضوع در خصوص توالت فوقانی این عمارت است. در طبقه دوم این بنا، توالتی وجود داشت که طراحی آن نظر بسیاری را به خود جلب کرده بود. ظاهرا جریان خروجی فاضلاب آن به لحاظ طراحی و ساخت بسیار مبهم بوده. حسب تحقیقات افراد آن دوران مشخص می­‌گردد که جریان فاضلاب توالت با یک لوله مخصوص به یک طاق بسیار بزرگ در زیر ساختمان منتهی می‌شده.از نوع و روش ساخت آن اطلاعاتی در دست نیست. اما این طاق در آن زمان به طاق عرق چینی معروف بوده است. طراحی این طاق فاضلاب به گونه‌­ای بوده که فضولات به طور طبیعی جذب زمین می‌شده است. علاوه بر اینها، طی اعلامیه شماره ۱۲۰۵ مورخه ۸ تیر ۱۳۰۸ اداره مالیه، برخی از ادارات مهم آن زمان در این ساختمان مستقر بوده‌اند از جمله: نظمیه، تلگرافخانه و صلحیه.,Neutral
دورنمای بسیار زیبا و جذابی دارد و بوستان کنارش برای استراحت مفید است.,Positive
عالی ۲۰,Positive
داروخونه خیلی خوبیه و پرسنل بسیار خوش‌برخوردی داره,Positive
داروخانه شبانه روزی،در موقعیت مکانی و مسیری که همیشه در دسترس میباشد,Positive
عالی بود با جاذبه های روستا,Positive
مردمان خوب زیبا,Positive
متنوع ترین محصولات آشپزخانه,Positive
بسیار گرون و پرسنل بی ادب داره. اصلا پیشنهاد نمیکنم,Negative
کار راه نمیندازن مفت خور ها جواب تلفن هم نمی‌دن چند دفعه باید بری و بیایی,Negative
محیطی آرام  و خوب برای عاشقان  آموزش و سرعت,Positive
مکان زیبا و تمیز ، که هم پارک داره نزدیک دریا ، و هم ساحل مرتبی داره که خونه و متل اطرافش زیاده برای اقامت ، و نزدیکش فروشگاه هم هست.,Positive
"گند ترین مدرسه در جهان هستی 
خیلی معلماش بدن اصلا خیلی بده",Negative
"به نظر من که باتوجه به اینکه زیر نظر آستان قدس هستش
اما اصلا مکان کیفیت و جالبی نیست
خوابگاه اش به صورت سوله ای هستش
و چندین ردیف تخت  پشت سر هم
بسیار از شهر و حتی از جاده دور هستش",Negative
داروخانه ای که زیر نظر دانشگاه باشه و به نام شهید مقدسی احمد کاظمی مزین باشه ،نباید افراد بیسواد وازخدا بی خبر کارکنانش باشند ،اگر یخورده کمتر باهم دیگه حرف بزنن ومشتری راهنمایی کنن ،بهتره ۵تا آمپول ونوفر گذاشتن برام ۱۲تا سرم نمکی ،۷تا سرم اضافه بدون پد الکل وانژوکت ،وراضی نیستم,Negative
خیلی خیلی بد پرسنل بد دارن و دعوادارن باادم مدیریت ضعیف پرسنل چند نفری مارو زدن فقط بخاطر ی چیز کوچیک,Negative
به درد نمیخوره,Negative
بدترین پستی که تا حالا رفتم ، بسته رو نمیاره تحویل بدن الکی میگن اومدیم کسی نبود، فوق العاده بی مسولیت و بی ادب هم هستن کارکنانشون، یک ستاره هم زیاده براشون.,Negative
ایستگاه خوبه ولی اطلاعات خط 18.1 همیشه اشتباس,Neutral
قیمت مناسب و درعین حال کیفیت بالا,Positive
روستای گونبَر(گنبرف)،گوشه ای از بهشت،طبیعتی بی نظیر و آب  و هوای دست نیافتنی،روستای گونبر پذیرای میهمانان گرامی از سراسر ایران عزیز می‌باشد.,Positive
از تولیدکنندگان خوب کانکس و کانتینر در سطح کشور,Positive
جای بسیار زیبا و قشنگیه.مخصوصا الان که برف ها آب شدن,Positive
حمام گلشن  فعال هست و برای آقایان هست خانمها نمیتونن داخل برن.و من فقط از درب ورود تونستم عکس بگیرم,Neutral
قیمت مناسب رانندگان با شخصیت مدیریت خوب و سریع,Positive
اینجا بنزین زدن اشتباه.خداحافظ,Negative
سلام ممنون از خدمات شما من منطقه آزاد شهر زندگی میکنم برای پسرم که جوان بود به بهشت رضا میرم نصف روز باید توی مسیر باشی سه کورس ماشین و مترو عوض کنی تا برسی اونجا خیلی سخته دیگه نایی برات نمیمونه اگر لطف کنید یک خط از آزاد شهر بزارید مستقیم بره بهشت رضا ممنون میشم خدا خیرتون بده بینهایت ممنونم.,Negative
عالی ترین هست,Positive
همیشه شلوغ و جای پارک به سختی داره,Negative
"مرکز ۲۱ (اقدسیه) آموزش فنی حرفه ای 
شماره تماس :۲۲۴۹۶۳۶۴",Neutral
"تو تعطیلات نوروز، تو این جایگاه بنزین زدیم
متاسفانه کارکنان فوق الاده بی ادب و بی نزاکتی داشت، طوری که به من و خانواده ام توهین کردن....",Negative
کارشان افتضاح است و اصلا راضی نیستم,Negative
به نظرم قهوه هاش یکم میسوزه، ولی بازم کسی که این کاره است باید نظر بده. ولی قهوه هاش خیلی خوب میگیرت,Neutral
مجموعه ای  منظم و لاکچری با نظم انظباط  خوب و  سرویس دهی عالی ،,Positive
خیلی بد برخورد می‌کند.,Negative
روستای زیبای زاوبالا🤩🤩,Positive
یک شیرینی سرای لوکس با پرسنلی خوش برخورد ولی خوب قیمتها نسبتا بالا,Positive
محیط شیکی ندارد,Negative
خیلی شلوغه و معطلیش زیاده، یه کم باید رو زیبا سازی و تمیزیش کار کنن، کادرش هم تو پیک کاری کم میارن,Negative
از همه نظر کارشون حرف نداره واقعاً کارشون عاللللییییه,Positive
فروشگاه لوکس وعالی با بروز ترین و قیمت پایینتر,Positive
"اصلا کارشون خوب نیست
من سیم کارت گرفتم شارژ نکردند و دیگه جواب گو هم نبودند",Negative
مکانی با قیمت مناسب و خدمات خیلی خوب برای بانوان,Positive
از جاذبه های گردشگری تاریخی فرهنگی گرگان (استرآباد) می توان به تپه تاریخی قلعه خندان بازمانده از دوره ساسانی با آثار مکشوفه از تاریخ ایران باستان که آخرین آثار آن مربوط به دوره حضور قجرهاست  که در یورش نادرشاه افشار این تپه وابنیه قجری آن با خاک یکسان شد  این تپه را می توان تنها نماد تپه ایی در بافت شهری منطقه یاد کرد,Neutral
عالییییییییی,Positive
اصلا به درد نمیخوره شب هاش خیلی سرده و برای اقامت هم ۱۲۰ هزار تومان ورودی میگیرن,Negative
هنوز نیاز به تکمیل دارد,Neutral
"خیلی مواظب این پمپ بنزین باشید 
انواع کلک ها میزنن",Negative
اهمیت ندادن در وقت ارباب رجوع,Negative
بسیار بی ادب و بی‌نظم بودند و کلی معطل میشید.ما که بدون گرفتن سفارش پا شدیم اومدیم بیرون.,Negative
این تلفن رو جواب بدن من ۵ ستاره میدم 😐,Negative
عالی حیوان های زیادی داشت ولی خب خسته و افسرده بودند,Positive
افتضاح ترین پمپ بنزینی که دیدم انگار همیشه شلوغ و جایگاه کم,Negative
یه مکان عالی و دنج 👌💙💙,Positive
بسیار عالی و با کیفیت...,Positive
"سلام
امروز سر ساعت 12:۲۰ دقیقه مراجعه کردم بسته پستی منو قبول نکردن 
تازه میگفت فردا هم نیستیم
فقط چرا؟؟؟؟",Negative
"نخرید بخدا غ
ذاشون انقدر تنده نمیشه خورد",Negative
خدا رحمت کند خواننده بسیار هنرمند و توانا ....,Neutral
اصلا جوابگو نیستند خدمات از صفرهم پایین تر بسته من چندروز پیش دستشون رسیده ولی هنوز دست من نرسیده,Negative
ساعت 14 تا 18 باز است.,Neutral
عالی واقعا خوشمزس حرف نداره .خیلی خیلی خیلی خیلی خوشمزس .هرکی نرفته نصف عمرش برفناست,Positive
با سلام . من برای خرید سرویس چوب مراجعه کردم گفتند ۲۵روزه آماده میشه ولی الان یک ماه گذشته و هنوز به دستم نرسیده...خیلی بد قول هستند.,Negative
عالیه ابشار زیبا طبیعت دلچسب,Positive
افتضاح. واقعا بی ادب و بی اخلاق و کثیف,Negative
خوبه بدک نیست,Positive
نیم ایستگاه راه آهن گونی بافی که قطار ها برای جابجایی اندکی در اونجا توقف می کنند ولی فکر نمی کنم مسافر سوار کنند.,Neutral
بسیار جای خوبیه,Positive
شماره تماس این مکان چند است؟؟؟؟,Neutral
پرستارهای بی تجربه ،رسیدگی صفر،بیمار را برای دریافت پول بیشتر الکی چند روز بیشتر نگه میدارم خیلی حواستون باشه،بخش ای سی یو پر از سوسک بود هیچ گونه اهمیتی به بیمار نمیدن ،حتی برای سرم زدن به این بیمارستان نرید ،دکترررررر شیروانی بیمارستان درست کردی برای چاپ پوووووول تو شررررررررف نداری,Positive
همیشه شلوغ,Negative
ما ی سال زرناس بودیم‌پارک خوبیه بهش برسن عالی ترم میشه,Positive
مرکزی خوب و تمیز با دکترهای خوب و مجرب,Positive
چیزی ک داخلش نبود زندان و مدرسه ک بالا ساخته شده بود وغرفه های ک محل کسب و کار بود زیاد جالب نبود,Negative
"یه ستاره هم زیاده، مسولین بی کفایتی داره که اصلا کار رو راه نمی اندازن، چون کار راه نمی اندازن همیشه خلوطه و هیشکی نمیره،
مسولین بی اعصاب و خدا نشناسی داره اینجا",Negative
لطفاً نظر اشتباه ندید ما از روی نظر های شما  رفتیم برنج سرد گذاشته جلومون کباب ها هم بی مزه اصلا پیشنهاد نمیکنم,Negative
کیفیت غذایی عالی و شیک مدرن و پرسنلی خوش رفتار,Positive
ادم باحالی هس,Positive
پارک خوبیه ولی اگه یکم به نور پارک رسیدگی بشه عالی میشه,Positive
امروز ما رفتیم متاسفانه بدون اطلاع قبلی بسته بود کلی هم بازدید کننده انجا بودند . هیچ اطلاع رسانی تو مسیر و حتی نزدیک کلیسا نزده بودند . فقط نمای بیرونی کلیسا رو دیدیم,Negative
سرویس های بهداشتی به دلیل تعمیرات قابل استفاده نیست,Neutral
بگیم که عکاسی خیلی خوبیه نیست ولی من عکس فوری ازش خواستم که اصلا خوب نگرفتن و اصلا بدرد نخورد ولی نمیدونم عکسی که بخواین واسش وقت بذارن چجوری بشه ولی من از عکس فوریش راضی نبودم,Negative
هتل باران اصفهان در مهرماه سال 1397 به بهره برداری رسید. این هتل در 7 طبقه بنا شده است و دارای 38 باب اتاق و سوئیت می باشد. قرار گیری هتل سه ستاره باران اصفهان در خیابان امام خمینی، امکان دسترسی به بیمارستان امام حسین (تخصصی کودکان) با فاصله 2.5 کیلومتر و دانشگاه صنعتی اصفهان با فاصله 5.5 کیلومتر را میسر کرده است. همچنین با اقامت در هتل باران می توان از اماکن گردشگری اصفهان نظیر میدان نقش جهان و پل خواجو با حداکثر فاصله 16.5 کیلومتر بازدید کرد.,Neutral
"خورشت ناردون سفارش دادم اول تا آخر فقط داشتم هسته های انار جدا میکردم نفهمیدم چی خوردم
قیمت ها هم نسبت به شعبه های دیگه بالاتر هست",Negative
حدودا ۱۴،۱۵ سال پیش ازش شیرینی خریدیم بردیم مهمونی؛ توش سوسک بود 🤮🤮🤮 هم کلی آبروریزی شد هم حالمون بهم خورد ازون به بعد دیگه هیچوقت ازش کیک و شیرینی نگرفتیم,Negative
غذایی‌شان  کیفیت پایین دارد,Negative
بسته است,Neutral
پل صیحه در یکی از روستاهای اندیمشک با چشم انداز بی‌نظیر . مربوط به دوره صفویان,Positive
مکانی مقدس و بهترین جا برای عبادت خونه ی خدا، خادم خیلی خوبی داره همیشه مسجدو مرتب و تمیز نگه میداره و جارو میزنه،رسیدگیه خیلی خوبی به فضای سبز مسجد داره,Positive
حق رو‌میدن به پزشک‌ خاطی چون خلاصه همکارشون هوای همو دارن دیگه خدا لعنتتتون‌کنه‌۲سال دارم میرم‌و‌میام هنوز به‌حقم‌نرسیدم,Negative
زردچوبه میزنه جا بومی می‌فروشد,Negative
عالی قیمت کیفیت هاش همه چیش خوبه,Positive
قله ی عاشق کوه از نمای روستای سلطان میدان,Neutral
اصلا بدرد سفر نمیخوره کلا بسته است و نمیشه کنار دریاچه رفت.,Negative
متاسفانه کادر و پرسنل مجربی نداره درضمن خدمات و اخلاق اکثر واحدهای این بیمارستان از جمله قسمت ایستگاه پرستاری و سی تی اسکن این بیمارستان رفتار غیر حرفه ای با مردم دارند,Negative
وقتی وارد طبس میشی و اطراف امامزاده جا برای کمپ کردن نیست اینجا بهترین گذینه هستش،مکان خوب،سرویس بهداشتی مناسب و فروشگاه نقلی،یه فضای بازی هم برا بچه ها داره,Positive
.در حد یک ستاره .موکت های کف هتل اینقدر کثیف هستند که آدم حالش بد میشه .,Negative
بسته بود در صورتی که باید باز باشه,Negative
سلام و خسته نباشید به شما فروشگاه خوبی بود هم از نظر قیمت هم از نظر تنوع اجناس موفق باشید,Positive
مکانی بسیارعالی،معنوی وتمیزبااخلاق خوب دست اندکاران,Positive
امکانات کمی مثل نداشتن آزمایشگاه آسفالت خوب برای بازی,Negative
فروشگاه بزرگی هست,Positive
بهترین وبا نازلترین قیمت فروش میکنن,Positive
تا ساعت 10شب باز هستن,Neutral
۲۸ اردیبهشت ۱۴۰۲ ورودیش ۵۴۵۰۰تومان بود .دریای خزر به اون بزرگی رو مفتی میریم نگاه میکنیم یه دریاچه رو اونقدر باید پول بدیم 🙄😒,Negative
بستنی‌های خوبی داره,Positive
از جامع‌ترین تکایای تخت فولاد که از عالم و عارف تا شاعر و موسیقیدان را در خود جای داده، تکیه سیدالعراقین است. این تکیه از آثار پهلوی دوم و منسوب به رئیس العلما، سید عبدالحسین مدرس خاتون آبادی است. دلیل نام گذاری این تکیه نیز وجود مقبره حاج میر سید عبدالحسین مدرس خاتون آبادی ملقب به سیدالعراقین است که در دوره پهلوی رئیس مدرسه علمیه چهارباغ بود.,Neutral
برخوردشان بامردم خوب بود,Positive
فروشگاه نسبتاً جم و جور تمیز با کارکنان خوب و خوش اخلاق,Positive
کارشناسان بد اخلاق وفاسدوفقط از الکی مردمو به خرج میاندازن,Negative
سرعت اینترنت و بهتر بگم زیرساخت‌های اینترنت و مخابرات تو خیلی از مناطق رشت افتضاحه. مناطق حاشیه‌ای هم نه ها حتی مناطق مرکزی و اصلی شهر,Negative
"خییییییییییلی افتضاح
پرسنل خیلی بدعنق و اخمو ، همه رو الکی ایراد آلایندگی میگیرن و بعدش بابت تنظیم موتور کاملا بیخود ۱۰۰ دیگه میگیرن(که حتی یه دیاگ ساده هم ندارن که بزنن)
حالا بعد اونم باس دوباره کلی معطل بازدید مجدد بشی...",Negative
"به‌شدت افتضاح... غدای بد ... مکان بسیار کثیف .... بسیار اتاق های کوچیک و قدیمی 
و امکانات بسیار بسیار صغیف ختی یک شامپو یا حتی سشوار نداشتند ... بسیار ناراضی هستم",Negative
بهترین,Positive
گران و گران و گران و دیگر هیچ,Negative
دریاچه زییا و دارای جنگل های انبوه و جاده اش به تازگی آسفالت شده است,Neutral
قیمت بیشتر اجناسش گرون نسبت به فروشگاه های کوثر,Negative
کاملا گرون فروش و بی انصاف وقیمت روی محصولاتشون را پاک میکنن تا گرونتر بفروشن,Negative
"این ایستگاه هنوز به بهره برداری نرسیده 
از سمت اشرفی به سمت هفت تیر مسیر نداره",Neutral
ظاهرا آبان و آذر باید رفت.,Neutral
بهترین و راحت ترین و به صرفه ترین فروشگاه است .,Positive
مدیر بد اخلاق،😔 اگه تو محدوده نباشی انقدر می زنن تو سرت که خودت بچه رو بر می داری میبری,Negative
تصویر بسیار زیبایی از مزار این جوان دانشمند گذاشته شده است . ❤️❤️❤️,Positive
دکترهای که اونجاست خیلی بداخلاق هستن اصلا بابیماریک کیلومتر فاصله دارن فقط ازدورمیپرسن,Negative
از نظر کیفیت ، حجم ، قیمت ، برخورد پرسنل عالی,Positive
عالی با حضور بچه های قوچان,Positive
بنام خداوند متعال. لوازم یدکی فرشاد در لوکیشن عالی و در کنار مغازه های مکانیکی و باتری سازی قرار گرفته و لوازم کلیه خودرو ها رو هم میفروشن و از نظر کیفیت محصولات هم بسیار توان مند و مناسب میباشد. فقط اگر از لحاظ قیمت لوازم همشهریان عزیز رو یکم مراعات کنند به طبع مشتریان بیشتری هم خواهند داشت. در کل خدماتشون خوب و عالی است,Positive
رسیدگی و اطلاع رسانی به بیماران افتضاح,Negative
"تعطیل است 
یکشنبه ۱۴۰۲/۱/۶ ساعت ۱۰ صبح",Neutral
مینی بوس ها دیر میان,Negative
"دود سیاه رو از آبی تشخیص نمیده 
میگه ماشینت روغن سوزی داره سی میلیون خرجشه بردم یه جا دیگه فقط یه سنسور بود درست کرد و تمام",Negative
در سال ۹۳۲ ه‍. ق، شاه طهماسب صفوی بدون آن که در اصل بنای گنبد تغییراتی ایجاد کند، برای نخستین بار گنبد را با خشت‌های طلا آراست. او نخست کاشی‌های گنبد را برچید و پس از آن روی گنبد را ورقه‌های مسی که رویه طلا داشت زراندود کرد و همچنین گلدستهٔ کنار گنبد را نیز به طلا آراسته نمود.,Neutral
"خیلی سخت می‌گیرند
آب افتضاح 
خوراک افتضاح 
جای خواب افتضاح 
به شدت سخت گیر.....",Negative
سلام همیشه خط 73 دیر میاد فقط روز های پنجشنبه و جمعه زود تر میاد,Negative
بیمارستان خوبی هست,Positive
محله قصر بام تراس قصر پله های شریعتی جایی برای چند دقیقه مدیتیشن یا ساعت  نگاه کردن از ارتفایی خوب به شرق تهران که ورودی ها از شریعتی به خ اندیشه و بعد سهروردی شمالی سه تا از کوچه ها نمایی بلند و خوب برای تماشای شرق دارن,Positive
تعطیل شده,Neutral
بسیار بی کیفیت... پولتون رو هدر دادید...,Negative
«باغ عفیف‌ آباد» یا «باغ گلشن» از باغ‌های تاریخی و مکان های دیدنی شیراز به شمار می‌رود و ویژگی‌های معماری چندین دوره (هخامنشی، ساسانی و قاجاریه) را در خود دارد. این باغ که در ۱۰ خرداد ۱۳۵۱ با شماره ۹۱۳ به ثبت ملی رسید، اکنون تحت اختیار سازمان عقیدتی سیاسی ارتش جمهوری اسلامی است. باغ زیبای عفیف آباد به‌دلیل قرار داشتن یکی از بزرگ‌ترین موزه‌های نظامی خاورمیانه در آن رنگ و بویی کاملا نظامی به خود گرفته و در گوشه و کنار آن می‌توانید انواع ادوات نظامی و حتی تانک و توپ‌های بسیار قدیمی را مشاهده کنید.,Neutral
غذایی واقعا لذیذ در دل ساحل,Positive
واقعا درست کار انجام نمیدن جارو برقی که هیچ باد میگیرن شستن هم هنوز جای لکه قبلی هست,Negative
قیمت گرون و عملکرد ضعیف کارکنان این مجموعه در شستوشوی خودرو,Negative
پارک خوب و بزرگی هست. یا خانواده هم میشه رفت.,Positive
همه روزه از ساعت ۸ شروع به فعالیت میکنه. قبلش هم میشه اومد نوبت گرفت. پنجشنبه ها هم تا ۱۲ هستند. نظم خوبی هم دارد.,Positive
عالیه، خوش مسیر و دسترسی به همه جا از هر طرف راحت و آسوده,Positive
مکانی بسیار تمیز وخوب,Positive
بدترین و مزخرفترین رستورانی که به عمرم رفتم کثیف غذاهای فوق العاده بی کیفیت در یک کلام فاجعه,Negative
تهویه مناسب ندارد . پول ودیعه را هم پس نمی‌دن,Negative
متاسفانه بسیار ضعیف است و کیفیت چمن اصلا خوب نیست و کسی هم به فکر نیست,Negative
خط ۲۲ خیلی دیر میاد تو اوج گرما حداقل باید اصافه بشه مخصوصا شیفت ظهر که همه از سرکار تعطیل میشن,Negative
این مسجد به دستور گوهرشادبیگم همسر شاهرخ ساخته شد. به دلیل ظرافت و زیبایی کاشی کاری و خط و اسلوب معماری مسجد گوهرشاد، این مسجد از شاهکارهای معماری ایرانی در دوره تیموری؛ و به دلیل موقوفات بسیار و مجاورت با آرامگاه علی بن موسی الرضا از مهم‌ترین و شلوغ‌ترین مسجدهای ایران به‌شمار می‌رود، به‌طوری‌که برخی آن را پُربازدیدترین مسجد در ایران می‌دانند.,Neutral
اصلا غذا شون کیفیت نداره همچنین برخورد مسئولین اصلا قابل قبول نیست .,Negative
"از نظر پاسخگویی به شدت ضعیف
کار مشتری براشون اصلا ارزش نداره",Negative
کیفیت عاالی 👌👌👌,Positive
فروشنده منصف وخوش برخورد ومهمان نواز خداقوت میگم بهشون قهوه اسپرسوعالی هم داره,Positive
در اصل باید مترو نظام آباد می بود😄,Neutral
کلا سره کاریه.چون جنسی از مرز اینچه برون وارد نمیشه که بخواین به قیت بخرین.هر چی دارن همون جنسای چینیه که از جنوب کشور وارد میشه.و شما پول جنس به علاوه چند دست سود و هزینه حمل از جنوب کشور تا این نقطه مرزی رو پرداخت میکنید و برمیگردین باز به شهر خودتون میبینید اون جنس در هر خودتون ارزونتره.حتی ارزش بنزین سوزوندن هم نداره تا اونجا.,Negative
از رفتار فروشنده هاش راضینیستم انگار ارث پدرشون رو طلب دارن,Negative
کیفیت کار خیلی خوبه و قیمت هم زیاد بالا نیست,Positive
کلیسای چوپان جلفا.محلی تاریخی و گردشگری.بهترین محل در کنار رود ارس برای گردش و تفریح خانوادگی .,Positive
جای نشستن و چادر زدن نداره سرویس بهداشتی به سختی گیر میاد,Negative
قدیمی ترین سبزیجات آماده ای که تو عظیمیه میشناسم .بسیار بهداشتی و تمیزهستش.پرسنل بسیار مودبی هم داره .من 10 ساله مشتریشونم .عالیه کارشون .,Positive
برای رسیدن به ضلع جنوبی میدان هفت تیر و بورس مانتو فروشان میدان هفت تیر و فروشگاه های لباس زنانه و خیابان بهار شمالی و بهار شیراز و تاکسی های خیابان سهروردی و سیدخندان می توانید از این خروجی استفاده کنید.با توجه به شلوغ بودن و مسدود بودن مرکز میدان هفت تیر برای رسیدن به قسمت‌های مختلف میدان هفت تیر و خیابان کریمخان زند شمالی و جنوبی حتما باید از زیرگذرهای مترو استفاده کنید که به دلیل وارد نشدن به گیت مسافری گیری، رایگان هستند.,Neutral
جا نشستن داره. آرومه و خوب.,Positive
تقریبا نود درصد واحدهای تجاری مجتمع خالی و بدون استفاده‌ن,Neutral
برخورد خوب پرسنل و پاسخگویی مناسب,Positive
اصلا کسی پاسخگو نیست و تقریبا تعطیل است,Negative
"۱-کادر درمان تازه کار 
۲-دستگاه ازمایشگاه و تجهیزات استوک و اصلا به  سلامت جواب ازمایشگاه اهمیت نمیدن 
۳- مواد ازمایشگاه شیمیایی رو با برداشتن پلمپ به جوی اب میریزند و همه برجسب تاریخ ویال دستگاه دیاسورین را عوض میکنند 
 یک کلام جنایت میکنن در حق مشنری و سلامت جامعه",Negative
نمی‌دونم مجوز داره یا نه؟!,Negative
"جای امنی برای خانواده و بچه نیست 
معتاد و مواد فروش زیاده",Negative
عکس بسیار زیبا و جذاب و این مکان نیز بسیار خوب و دوست داشتنی هست.,Positive
هزینه ورودی برای خودرو شخصی، 30 هزار تومان هست,Neutral
شمس العماره بلندترین برج تهران در زمان ناصرالدین شاه قاجار بودوارتفاع حدود۳۵ متر هنر معماری ایران که با آهن بکار رفته,Neutral
واقعا افتضاح بود من تا حالا انقدر غذا خوری کثیف ندیده بودم غذاهاشونم که چی بگم خودتون اگه دوست داشتید امتحانش کنید ولی آبلیمو زیاد بخورید,Negative
از نظر اخلاق صفر هست چندین بار مراجعه کردم,Negative
الان من رفتم کسی نبود همه دستگاه هاش خاموش بود,Negative
السلام علیک یا فاطمه المعصومه,Neutral
پرسنل خوش برخورد و شیرینی ها هم بسیار خوشمزه😊😋,Positive
۴۰ هزار تومان برای یک شب که داخل پارک چادر بزنی میگیرن. خجالت اوره,Negative
